"vendor_name","slug","area","address","phone","current_latitude","current_longitude","duplicate_group_count","address_confidence","candidate_latitude","candidate_longitude","candidate_address","candidate_source","distance_from_current_km","distance_from_area_center_km","recommendation","review_notes"
"Afaihat","afaihat","Utako","Utako farm market by Miva university","2348123077968","9.057900","7.495100","25","HIGH CONFIDENCE","9.074457635699142","7.4432106886703195","Abuja FCT, Municipal Area Council, Nigeria","MapTiler Geocoding API (place; relevance=0.492778; not partial)","5.99","0.54","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Alice kitchen","alice-kitchen","Utako","Utako Dan suileman 25 street,first turn by your left the street opposite uba and zenith bank.","2347012264698","9.057900","7.495100","25","HIGH CONFIDENCE","","","","","","","NO_CANDIDATE","Address has street/plaza/market/plot-style detail with Abuja or area context. No safe geocoding candidate was produced."
"Awashe suya spot","awashe-suya-spot","Utako","12 AJOSE ADEOGUN STREET BY BLACK GATE UTAKO VILLAGE BESIDE KOREST HOTEL& APARTMENT.","2348126818766","9.057900","7.495100","25","HIGH CONFIDENCE","9.069195969716837","7.441154127662685","Ajose Adeogun Street, 900108 Municipal Area Council, Nigeria","MapTiler Geocoding API (address; relevance=0.501111; not partial)","6.06","0.1","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Bianns Cuisine","bianns-cuisine","Wuse","Alexandra Street Berger paint Plaza, Banex Wuse 2","2347079789421","9.057900","7.495100","25","HIGH CONFIDENCE","9.062045532204394","7.466555088758469","Wuse, Nigeria","MapTiler Geocoding API (joint_submunicipality; relevance=0.444444; not partial)","3.17","2.14","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Blessed Kitchen","blessed-kitchen","Wuse","Luanda Crescent, very close to Village Chief Restaurant and Bar, Wuse 2","2349033663384","9.057900","7.495100","25","HIGH CONFIDENCE","9.073458321232383","7.472005018355048","Agadez Crescent, 900104 Municipal Area Council, Nigeria","MapTiler Geocoding API (address; relevance=0.544444; not partial)","3.07","1.01","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Blessing","blessing","Utako","Utako market opposite GUO transport Co.","2347039841690","9.057900","7.495100","25","HIGH CONFIDENCE","9.074457635699142","7.4432106886703195","Abuja FCT, Municipal Area Council, Nigeria","MapTiler Geocoding API (place; relevance=0.492778; not partial)","5.99","0.54","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"CorrectChow","correctchow","Wuse","Skylak Pharmacy plaza, Aminu Kano Crescent, opposite hustle and bustle, Wuse 2 FCT Abuja","2348035377636","9.057900","7.495100","25","HIGH CONFIDENCE","9.079648651461607","7.470912675359614","Aminu Kano Crescent, 904101 Municipal Area Council, Nigeria","MapTiler Geocoding API (address; relevance=0.52716; not partial)","3.59","0.44","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Idoma Kitchen","idoma-kitchen","Wuse","Ruby Center, beside Kilimanjaro at Amino Kano Crescent, Wuse 2,","2348080371554","9.057900","7.495100","25","HIGH CONFIDENCE","9.073458321232383","7.472005018355048","Agadez Crescent, 900104 Municipal Area Council, Nigeria","MapTiler Geocoding API (address; relevance=0.560317; not partial)","3.07","1.01","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Laraba","laraba","Wuse","zone 2 by ogadugwu","2347018810177","9.057900","7.495100","25","HIGH CONFIDENCE","9.062045532204394","7.466555088758469","Wuse, Nigeria","MapTiler Geocoding API (joint_submunicipality; relevance=0.481481; not partial)","3.17","2.14","NEEDS_AGENT_CONFIRMATION","Address has street/plaza/market/plot-style detail with Abuja or area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
"Madam Cash","madam-cash","Asokoro","Asokoro Village by Building Material .","2348118869904","9.057900","7.495100","25","MEDIUM CONFIDENCE","9.04592670415905","7.522982891781339","Asokoro Abuja, Municipal Area Council, Nigeria","MapTiler Geocoding API (place; relevance=0.510062; not partial)","3.34","0.9","NEEDS_AGENT_CONFIRMATION","Address has landmark direction and area context. Geocode candidate is inside approximate FCT bounds. Geocode candidate is plausible but must be manually approved before any coordinate update."
